t,rms_ns,max_ns,freq_raw,freq_pm_raw,path_delay_ns,path_delay_pm_ns,raw,t_rel_s,t_bin_s,sample_idx,scenario,run_id,role
7965.973,272762,298956,-1943623,27258,571428,35564,ptp4l[7965.973]: rms 272762 max 298956 freq -1943623 +/- 27258 delay 571428 +/- 35564,58.051000000000386,58,29,low,run10,client
7967.977,200202,277259,-1929665,16869,537832,0,ptp4l[7967.977]: rms 200202 max 277259 freq -1929665 +/- 16869 delay 537832 +/-   0,60.05500000000029,60,30,low,run10,client
7969.977,173318,240773,-1955021,9864,555813,0,ptp4l[7969.977]: rms 173318 max 240773 freq -1955021 +/- 9864 delay 555813 +/-   0,62.05500000000029,62,31,low,run10,client
7971.98,106181,147258,-1931872,5967,526154,1006,ptp4l[7971.980]: rms 106181 max 147258 freq -1931872 +/- 5967 delay 526154 +/- 1006,64.05799999999999,64,32,low,run10,client
7973.983,632023,842807,-1882891,27680,525147,0,ptp4l[7973.983]: rms 632023 max 842807 freq -1882891 +/- 27680 delay 525147 +/-   0,66.0610000000006,66,33,low,run10,client
7975.982,128274,172170,-1927824,5722,564719,18227,ptp4l[7975.982]: rms 128274 max 172170 freq -1927824 +/- 5722 delay 564719 +/- 18227,68.0600000000004,68,34,low,run10,client
7977.986,1164309,1645962,-1858445,85380,580933,0,ptp4l[7977.986]: rms 1164309 max 1645962 freq -1858445 +/- 85380 delay 580933 +/-   0,70.0640000000003,70,35,low,run10,client
7979.986,5459494,7719590,-1551119,393137,688052,104157,ptp4l[7979.986]: rms 5459494 max 7719590 freq -1551119 +/- 393137 delay 688052 +/- 104157,72.0640000000003,72,36,low,run10,client
7981.987,323403,446023,-1957941,17190,868713,0,ptp4l[7981.987]: rms 323403 max 446023 freq -1957941 +/- 17190 delay 868713 +/-   0,74.06500000000051,74,37,low,run10,client
7983.99,59386,69482,-1936545,1150,713808,109534,ptp4l[7983.990]: rms 59386 max 69482 freq -1936545 +/- 1150 delay 713808 +/- 109534,76.06800000000021,76,38,low,run10,client
7985.99,307692,435142,-1952902,21794,622221,11966,ptp4l[7985.990]: rms 307692 max 435142 freq -1952902 +/- 21794 delay 622221 +/- 11966,78.06800000000021,78,39,low,run10,client
7987.989,142605,185329,-1936617,13283,580987,26108,ptp4l[7987.989]: rms 142605 max 185329 freq -1936617 +/- 13283 delay 580987 +/- 26108,80.06700000000001,80,40,low,run10,client
7989.993,413739,568773,-1909568,35589,514195,0,ptp4l[7989.993]: rms 413739 max 568773 freq -1909568 +/- 35589 delay 514195 +/-   0,82.07100000000082,82,41,low,run10,client
7991.994,178445,226568,-1925082,16999,560831,0,ptp4l[7991.994]: rms 178445 max 226568 freq -1925082 +/- 16999 delay 560831 +/-   0,84.07200000000012,84,42,low,run10,client
7993.997,20042,28339,-1932144,1458,560831,0,ptp4l[7993.997]: rms 20042 max 28339 freq -1932144 +/- 1458 delay 560831 +/-   0,86.07500000000073,86,43,low,run10,client
7995.999,391086,543808,-1897941,22098,558232,57806,ptp4l[7995.999]: rms 391086 max 543808 freq -1897941 +/- 22098 delay 558232 +/- 57806,88.07700000000023,88,44,low,run10,client
7997.999,322220,453175,-1904598,20245,733291,0,ptp4l[7997.999]: rms 322220 max 453175 freq -1904598 +/- 20245 delay 733291 +/-   0,90.07700000000023,90,45,low,run10,client
8000.001,4895486,6920569,-1566921,336276,734220,657,ptp4l[8000.001]: rms 4895486 max 6920569 freq -1566921 +/- 336276 delay 734220 +/- 657,92.07900000000063,92,46,low,run10,client
8002.004,360591,496205,-1903449,30939,708159,0,ptp4l[8002.004]: rms 360591 max 496205 freq -1903449 +/- 30939 delay 708159 +/-   0,94.08200000000033,94,47,low,run10,client
8004.006,196711,277543,-1908934,14835,734685,0,ptp4l[8004.006]: rms 196711 max 277543 freq -1908934 +/- 14835 delay 734685 +/-   0,96.08400000000074,96,48,low,run10,client
8006.009,105891,149126,-1928786,8147,792370,0,ptp4l[8006.009]: rms 105891 max 149126 freq -1928786 +/- 8147 delay 792370 +/-   0,98.08700000000044,98,49,low,run10,client
8008.013,479007,633765,-1902203,43967,798675,31437,ptp4l[8008.013]: rms 479007 max 633765 freq -1902203 +/- 43967 delay 798675 +/- 31437,100.09100000000035,100,50,low,run10,client
8010.013,377736,488442,-1957447,13498,772427,0,ptp4l[8010.013]: rms 377736 max 488442 freq -1957447 +/- 13498 delay 772427 +/-   0,102.09100000000035,102,51,low,run10,client
8012.016,85943,112332,-1925702,7960,772427,0,ptp4l[8012.016]: rms 85943 max 112332 freq -1925702 +/- 7960 delay 772427 +/-   0,104.09400000000005,104,52,low,run10,client
8014.013,913359,1290438,-1853706,61657,754425,0,ptp4l[8014.013]: rms 913359 max 1290438 freq -1853706 +/- 61657 delay 754425 +/-   0,106.09100000000035,106,53,low,run10,client
8016.018,238290,293298,-1944375,6284,838109,0,ptp4l[8016.018]: rms 238290 max 293298 freq -1944375 +/- 6284 delay 838109 +/-   0,108.09600000000046,108,54,low,run10,client
8018.018,190345,256277,-1938638,8824,682268,70592,ptp4l[8018.018]: rms 190345 max 256277 freq -1938638 +/- 8824 delay 682268 +/- 70592,110.09600000000046,110,55,low,run10,client
