role,scenario,run_id,source_file,t_first_selected_s,offset_mean_ms_post,offset_std_ms_post,offset_p95_ms_post,offset_maxabs_ms_post,jitter_mean_ms_post,jitter_p95_ms_post,delay_mean_ms_post,delay_p95_ms_post,reach_final_raw,reach_final_oct
client,medium,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run11/ntp_client_live.log,557.0,-6.190280952380951,3.5994020132766105,0.1671,9.3135,4.653144444444443,10.1787,14.85859682539683,21.4246,377,255
boundary,medium,run11,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run11/ntp_boundary_live.log,513.0,0.21927121212121214,0.12624241487057472,0.4356,0.4356,0.3050378787878788,0.416975,0.9911924242424243,1.803825,377,255
client,medium,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run12/ntp_client_live.log,558.0,-7.9032476190476215,1.2481604224924363,-6.776,10.5385,2.4525936507936517,5.107379999999999,17.305220634920634,22.935129999999997,377,255
boundary,medium,run12,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run12/ntp_boundary_live.log,512.0,0.47199848484848483,0.12930187516330124,0.7941750000000001,0.8132,0.23038939393939395,0.34354999999999997,1.5648303030303028,3.026975,377,255
client,medium,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run13/ntp_client_live.log,558.0,-6.184253968253972,3.415506064464721,0.0121,9.6658,3.5619444444444435,8.3574,14.555446031746028,23.533029999999997,377,255
boundary,medium,run13,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run13/ntp_boundary_live.log,512.0,0.18978484848484847,0.20800292101678566,0.6194,0.646,0.4033484848484849,0.56,1.1402166666666669,2.400725,377,255
client,medium,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run14/ntp_client_live.log,587.0,-5.2498377049180345,4.416588343512971,0.28,11.1552,4.815760655737703,9.2175,12.702286885245899,23.8809,377,255
boundary,medium,run14,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run14/ntp_boundary_live.log,512.0,0.17862424242424244,0.10164114712004571,0.41107499999999997,0.4224,0.49172272727272726,1.3633,1.2474818181818181,2.2109,377,255
client,medium,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run15/ntp_client_live.log,558.0,-6.437488888888888,2.8456935682236404,0.5407,9.839,3.414536507936507,7.3319,15.389090476190475,28.05558999999999,377,255
boundary,medium,run15,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/medium/run15/ntp_boundary_live.log,512.0,0.09929090909090911,0.21462123253430782,0.6168,0.6168,0.34508636363636364,0.4339,1.05289696969697,1.7819,377,255
client,high,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/high/run01/ntp_client_live.log,573.0,-17.04919354838709,15.546138449987742,0.09310999999999989,39.7647,23.621056451612894,33.6416,36.03125322580645,81.64688499999998,276,190
boundary,high,run01,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/high/run01/ntp_boundary_live.log,513.0,0.08076060606060609,0.06633434631595836,0.179825,0.1849,0.5816287878787879,0.9183,1.0396136363636366,1.610675,377,255
client,high,run02,/home/gabrielemenestrina/tesi_sync_lab/analysis/raw_logs/T3_multiplerun/ntpsec/high/run02/ntp_client_live.log,588.0,-17.834954098360658,16.231060829733973,0.2131,39.2135,22.84584426229509,31.8759,37.56935245901639,80.5494,377,255
